no,성별,결혼,학력,연령,도구,보상,정보,디자인,공동체,몰입,충성도
216,1,2,4,24,6,14,9,20,18,12,9
217,1,1,4,35,6,14,10,21,24,15,12
218,2,2,3,24,6,14,11,20,21,11,10
219,2,2,1,23,6,14,12,20,21,12,12
220,1,2,1,20,6,14,12,20,24,16,12
221,1,1,3,34,6,14,12,24,24,15,12
222,1,1,3,33,6,15,9,20,24,14,12
223,2,1,1,39,6,15,9,23,28,16,15
224,1,2,4,24,6,16,9,23,24,16,13
225,2,1,4,29,6,16,12,20,22,14,12
226,1,2,2,27,6,17,15,28,25,16,14
227,1,2,2,25,7,5,6,18,17,12,9
228,1,2,3,31,7,6,6,14,18,12,9
229,2,1,4,32,7,6,7,17,21,12,9
230,2,2,1,20,7,6,8,20,21,11,9
231,2,1,3,34,7,6,9,19,17,14,10
232,2,2,1,27,7,6,9,23,27,20,12
233,1,2,2,14,7,7,11,16,21,10,10
234,1,2,3,25,7,8,7,17,23,16,11
235,2,1,2,27,7,8,9,19,13,11,9
236,1,2,2,18,7,8,9,24,23,13,11
237,2,1,3,29,7,8,12,24,20,14,12
238,2,2,4,23,7,9,8,17,24,14,11
239,1,2,3,24,7,9,8,19,22,17,13
240,2,2,2,26,7,9,9,15,20,12,10
241,2,2,2,26,7,9,9,15,20,12,10
242,2,2,4,24,7,9,9,19,23,18,13
243,1,2,3,27,7,10,7,19,18,14,11
244,2,2,1,28,7,10,8,14,23,14,10
245,2,2,4,12,7,10,9,15,14,7,8
246,2,2,3,19,7,10,9,18,21,14,9
247,2,2,4,16,7,10,10,17,24,14,12
248,2,1,4,34,7,10,12,20,22,15,12
249,2,2,4,20,7,11,8,16,18,12,11
250,1,2,3,26,7,11,8,19,18,12,8
251,1,2,2,32,7,11,9,16,17,11,9
252,2,2,3,20,7,11,9,17,18,11,9
253,2,2,2,20,7,11,10,20,18,11,11
254,2,1,3,36,7,11,10,24,20,12,11
255,2,1,4,33,7,11,11,21,20,14,12
256,2,2,1,30,7,12,7,17,18,10,9
257,1,2,4,30,7,12,8,21,22,15,11
258,2,1,4,27,7,12,8,22,23,14,11
259,1,2,2,26,7,12,8,22,25,15,13
260,1,2,2,22,7,12,9,19,21,12,10
261,2,2,3,25,7,12,9,20,19,15,11
262,2,1,3,45,7,12,9,21,18,11,9
263,2,2,4,25,7,12,9,21,18,13,10
264,2,2,1,15,7,12,9,23,21,12,11
265,2,2,1,15,7,12,9,23,21,12,11
266,2,2,4,21,7,12,10,17,21,14,11
267,2,2,4,27,7,12,10,20,16,10,9
268,2,2,3,13,7,12,10,20,24,16,12
269,1,2,4,26,7,12,10,21,23,12,11
270,2,1,3,22,7,12,11,23,22,14,12
271,2,2,4,25,7,12,12,19,21,14,12
272,2,2,4,25,7,12,12,19,21,14,12
273,2,1,3,27,7,13,9,23,23,15,12
274,2,2,1,25,7,13,10,22,21,14,12
275,1,1,3,33,7,14,11,21,22,14,10
276,2,1,4,44,7,15,7,19,15,13,10
277,1,1,4,50,7,15,11,20,28,15,13
278,1,2,4,21,7,15,12,20,20,12,11
279,1,2,4,26,7,17,7,21,22,14,12
280,2,2,4,20,7,18,13,22,24,18,15
281,2,2,4,20,7,18,13,22,24,18,15
282,1,1,4,41,8,5,10,17,18,13,9
283,2,2,1,23,8,5,10,17,19,10,7
284,1,2,4,33,8,6,7,16,21,12,7
285,2,2,1,25,8,7,9,11,22,12,9
286,2,2,1,25,8,7,9,11,22,12,9
287,2,2,3,14,8,7,9,14,17,14,8
288,2,2,3,14,8,7,9,14,17,14,8
289,2,1,3,34,8,7,10,16,20,12,11
290,1,2,2,19,8,7,10,20,21,13,11
291,1,2,2,19,8,7,10,20,21,13,11
292,1,2,3,28,8,7,10,22,25,15,12
293,1,2,4,24,8,8,6,15,22,12,9
294,2,2,2,24,8,8,6,16,17,12,9
295,2,1,1,29,8,8,7,17,17,12,9
296,1,2,4,25,8,8,7,21,19,13,11
297,1,1,2,12,8,8,8,16,20,9,7
298,1,2,3,29,8,8,8,18,18,11,8
299,1,2,3,29,8,8,8,18,18,11,8
300,1,2,1,26,8,8,9,15,13,9,7
301,1,1,3,37,8,8,9,18,20,12,9
302,1,2,2,26,8,8,9,19,18,14,9
303,1,2,2,26,8,8,9,19,18,14,9
304,1,2,4,34,8,8,10,24,21,15,12
305,1,2,3,34,8,9,7,19,20,10,9
306,1,2,3,20,8,9,8,20,18,9,10
307,2,1,1,30,8,9,8,22,21,16,12
308,1,2,4,24,8,9,9,19,14,11,9
309,2,2,3,20,8,9,9,19,22,15,12
310,2,1,2,28,8,9,10,19,15,9,8
311,1,1,4,31,8,9,10,22,14,12,10
312,2,2,2,15,8,10,7,15,15,9,9
313,1,2,3,25,8,10,7,17,13,11,9
314,2,2,3,23,8,10,9,17,20,14,10
315,2,2,2,32,8,10,9,21,20,13,11
316,1,1,3,32,8,10,10,21,19,11,9
317,1,2,4,27,8,10,10,21,21,13,10
318,2,2,3,23,8,10,10,23,24,14,12
319,2,1,4,27,8,10,11,21,24,14,13
320,1,1,3,37,8,10,11,24,23,14,12
321,1,1,2,42,8,10,12,16,24,14,12
322,2,2,3,30,8,10,13,23,26,17,15
323,2,2,1,28,8,11,6,19,16,14,10
324,1,2,2,24,8,11,7,14,21,13,11
325,2,2,4,20,8,11,7,15,21,14,10
326,2,2,3,24,8,11,10,17,17,14,12
327,2,2,4,24,8,11,10,18,19,13,10
328,1,2,4,24,8,11,10,19,18,12,11
329,1,2,3,29,8,11,10,23,22,15,12
330,2,2,3,27,8,11,11,17,21,13,11
331,2,2,3,27,8,11,11,17,21,13,11
332,2,2,4,24,8,11,11,21,22,13,12
333,1,2,4,28,8,11,12,16,24,16,10
334,2,2,1,15,8,12,6,22,21,12,11
335,1,2,3,24,8,12,7,18,16,11,9
336,1,2,2,32,8,12,8,21,20,17,12
337,2,2,3,24,8,12,8,27,19,11,12
338,2,2,2,29,8,12,9,15,16,13,10
339,1,2,3,20,8,12,9,18,20,14,9
340,2,2,4,23,8,12,9,22,18,12,11
341,1,2,3,32,8,12,12,15,20,14,12
342,2,1,1,39,8,13,8,19,22,15,11
343,2,1,1,39,8,13,8,19,22,15,11
344,1,2,4,14,8,13,8,19,24,14,11
345,2,1,3,31,8,13,9,18,22,14,11
346,1,2,3,28,8,13,9,18,24,14,11
347,2,2,4,25,8,13,9,21,21,15,12
348,2,2,1,22,8,13,9,23,24,15,12
349,2,1,4,26,8,13,10,20,18,12,11
350,2,1,3,43,8,13,11,22,22,14,11
351,2,1,3,43,8,13,11,22,22,14,11
352,1,2,2,23,8,13,12,17,21,11,11
353,1,2,2,23,8,13,12,17,21,11,11
354,1,2,2,31,8,14,9,10,21,10,8
355,1,2,1,14,8,14,9,22,25,18,13
356,1,1,1,42,8,14,12,20,23,13,12
357,2,1,2,34,8,14,12,22,22,15,12
358,2,2,1,21,8,14,12,24,21,15,12
359,2,2,4,23,8,15,7,24,21,12,11
360,1,1,3,40,8,15,8,21,26,15,12
361,1,1,4,32,8,15,12,19,24,11,12
362,1,1,4,35,8,16,3,17,18,12,9
363,2,2,4,18,8,16,7,26,26,16,15
364,1,2,4,41,8,16,12,19,23,14,11
365,2,2,3,21,8,16,12,22,16,16,12
366,1,2,3,27,8,16,12,22,18,10,12
367,1,2,3,25,9,11,11,22,23,15,12
368,2,2,4,20,9,11,12,20,21,13,12
369,1,2,2,30,9,12,10,20,22,15,12
370,2,2,4,11,9,15,12,27,24,16,15
371,1,1,3,30,10,10,9,20,23,14,12
372,1,1,3,35,10,10,9,26,20,13,12
373,2,2,3,24,10,10,13,28,29,19,15
374,2,2,2,23,10,12,5,22,18,12,9
375,2,2,4,19,10,15,7,14,16,15,10
376,1,2,4,28,10,16,7,20,14,10,9
